state,district,districthindi,season,seasonhindi,crop,crophindi,area,production
आंध्र प्रदेश (Andhra Pradesh),KADAPA,कडपा,Rabi       ,रबी ,Onion,प्याज,1034,3154
आंध्र प्रदेश (Andhra Pradesh),SRIKAKULAM,श्रीकाकुलम,Rabi       ,रबी ,Urad,उड़द,46081,24054
आंध्र प्रदेश (Andhra Pradesh),SRIKAKULAM,श्रीकाकुलम,Rabi       ,रबी ,Onion,प्याज,1248,23424
आंध्र प्रदेश (Andhra Pradesh),EAST GODAVARI,पूर्वी गोदावरी,Kharif     ,खरीफ ,Moong(Green Gram),मूंग (हरा चना),62,23
आंध्र प्रदेश (Andhra Pradesh),WEST GODAVARI,पश्चिम गोदावरी,Rabi       ,रबी ,Jowar,ज्वार,66,124
आंध्र प्रदेश (Andhra Pradesh),KURNOOL,कुरनूल,Rabi       ,रबी ,Bajra,बाजरे,236,282
आंध्र प्रदेश (Andhra Pradesh),GUNTUR,गुंटूर,Rabi       ,रबी ,Rice,चावल,44917,181060
आंध्र प्रदेश (Andhra Pradesh),KADAPA,कडपा,Kharif     ,खरीफ ,Other Kharif pulses,अन्य खरीफ दालें,2,1516
आंध्र प्रदेश (Andhra Pradesh),WEST GODAVARI,पश्चिम गोदावरी,Rabi       ,रबी ,Maize,मक्का,49482,301197
आंध्र प्रदेश (Andhra Pradesh),GUNTUR,गुंटूर,Rabi       ,रबी ,Onion,प्याज,40,707
आंध्र प्रदेश (Andhra Pradesh),GUNTUR,गुंटूर,Rabi       ,रबी ,Jowar,ज्वार,5108,35633
आंध्र प्रदेश (Andhra Pradesh),CHITTOOR,चित्तूर,Kharif     ,खरीफ ,Sunflower,सूरजमुखी,66,52
आंध्र प्रदेश (Andhra Pradesh),ANANTAPUR,अनंतपुरी,Kharif     ,खरीफ ,Other Kharif pulses,अन्य खरीफ दालें,2496,324
आंध्र प्रदेश (Andhra Pradesh),PRAKASAM,प्रकाशम,Kharif     ,खरीफ ,Rice,चावल,72100,206700
आंध्र प्रदेश (Andhra Pradesh),KADAPA,कडपा,Whole Year ,पूरे साल ,Orange,संतरा,3178,25978
आंध्र प्रदेश (Andhra Pradesh),EAST GODAVARI,पूर्वी गोदावरी,Kharif     ,खरीफ ,Bajra,बाजरे,3248,2339
आंध्र प्रदेश (Andhra Pradesh),ANANTAPUR,अनंतपुरी,Whole Year ,पूरे साल ,Sugarcane,गन्ना,454,32386
आंध्र प्रदेश (Andhra Pradesh),VIZIANAGARAM,विजयनगरम,Kharif     ,खरीफ ,Turmeric,हल्दी,128,852
आंध्र प्रदेश (Andhra Pradesh),VISAKHAPATANAM,विशाखापत्तनम,Whole Year ,पूरे साल ,Coconut ,नारियल ,7528,81264760
आंध्र प्रदेश (Andhra Pradesh),VIZIANAGARAM,विजयनगरम,Rabi       ,रबी ,Gram,ग्राम,322,422
आंध्र प्रदेश (Andhra Pradesh),SPSR NELLORE,एसपीएसआर नेल्लोर,Kharif     ,खरीफ ,Rice,चावल,60057,197167
आंध्र प्रदेश (Andhra Pradesh),KRISHNA,कृष्णा,Whole Year ,पूरे साल ,Tobacco,तंबाकू,5097,9589
आंध्र प्रदेश (Andhra Pradesh),ANANTAPUR,अनंतपुरी,Kharif     ,खरीफ ,Arecanut,सुपारी,558,302
आंध्र प्रदेश (Andhra Pradesh),KRISHNA,कृष्णा,Rabi       ,रबी ,Groundnut,मूंगफली,1947,3475
आंध्र प्रदेश (Andhra Pradesh),CHITTOOR,चित्तूर,Kharif     ,खरीफ ,Rice,चावल,18019,53639
आंध्र प्रदेश (Andhra Pradesh),ANANTAPUR,अनंतपुरी,Rabi       ,रबी ,Wheat,गेहूं,179,97
आंध्र प्रदेश (Andhra Pradesh),CHITTOOR,चित्तूर,Whole Year ,पूरे साल ,Tobacco,तंबाकू,14,13
आंध्र प्रदेश (Andhra Pradesh),WEST GODAVARI,पश्चिम गोदावरी,Kharif     ,खरीफ ,Castor seed,अरंडी बीज,276,84
आंध्र प्रदेश (Andhra Pradesh),EAST GODAVARI,पूर्वी गोदावरी,Rabi       ,रबी ,Sunflower,सूरजमुखी,291,260
आंध्र प्रदेश (Andhra Pradesh),SRIKAKULAM,श्रीकाकुलम,Rabi       ,रबी ,Sesamum,तिल,3791,561
आंध्र प्रदेश (Andhra Pradesh),KRISHNA,कृष्णा,Kharif     ,खरीफ ,Sunflower,सूरजमुखी,1200,900
आंध्र प्रदेश (Andhra Pradesh),PRAKASAM,प्रकाशम,Whole Year ,पूरे साल ,Sweet potato,शकरकंद,137,1918
आंध्र प्रदेश (Andhra Pradesh),VIZIANAGARAM,विजयनगरम,Rabi       ,रबी ,Jowar,ज्वार,5,23
